competition,date,match,video,log
RC25,2025-07-17,RedBackBots_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-17_13_17_55_51_vs_8.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-17_09-10-01_RedBackBots_Dutch-Nao-Team.yaml
RC25,2025-07-17,RoboEireann_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-17_15_30_37_5_vs_17.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-17_10-59-48_B-Human_RoboEireann.yaml
RC25,2025-07-17,SPQR-Team_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_23_49_21_19_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_19-48-51_SPQR-Team_B-Human.yaml
RC25,2025-07-17,SPQR-Team_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_23_59_01_19_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_19-48-51_SPQR-Team_B-Human.yaml
RC25,2025-07-17,SPQR-Team_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_00_31_20_5_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_19-48-51_SPQR-Team_B-Human.yaml
RC25,2025-07-17,SPQR-Team_Naova,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_19_35_41_19_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_15-34-27_SPQR-Team_Naova.yaml
RC25,2025-07-17,SPQR-Team_Naova,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_20_04_02_45_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_15-34-27_SPQR-Team_Naova.yaml
RC25,2025-07-17,SPQR-Team_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_15_17_39_19_vs_54.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_10-45-11_WisTex-United_SPQR-Team.yaml
RC25,2025-07-18,HTWK-Robots_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-18_23_03_14_5_vs_13.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-18_19-02-22_B-Human_HTWK-Robots.yaml
RC25,2025-07-18,HTWK-Robots_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-18_23_30_31_13_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-18_19-02-22_B-Human_HTWK-Robots.yaml
RC25,2025-07-18,HTWK-Robots_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_14_16_18_51_vs_13.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_10-11-40_RedBackBots_HTWK-Robots.yaml
RC25,2025-07-18,HTWK-Robots_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_14_38_34_13_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_10-11-40_RedBackBots_HTWK-Robots.yaml
RC25,2025-07-18,HTWK-Robots_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_14_47_41_13_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_10-11-40_RedBackBots_HTWK-Robots.yaml
RC25,2025-07-18,HULKs_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi111_2025-07-18_21_14_39_54_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-18_17-10-53_WisTex-United_HULKs.yaml
RC25,2025-07-18,HULKs_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi111_2025-07-18_21_36_47_24_vs_54.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-18_17-10-53_WisTex-United_HULKs.yaml
RC25,2025-07-18,Nao-Devils_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldD/pi115_2025-07-18_16_59_45_12_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldD/log_2025-07-18_12-58-42_B-Human_Nao-Devils.yaml
RC25,2025-07-18,Nao-Devils_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldD/pi115_2025-07-18_17_30_09_5_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldD/log_2025-07-18_12-58-42_B-Human_Nao-Devils.yaml
RC25,2025-07-18,Nao-Devils_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_22_00_51_12_vs_8.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_17-54-56_Nao-Devils_Dutch-Nao-Team.yaml
RC25,2025-07-18,Nao-Devils_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_22_28_00_8_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_17-54-56_Nao-Devils_Dutch-Nao-Team.yaml
RC25,2025-07-18,Naova_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_17_52_11_45_vs_8.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-18_13-41-01_Dutch-Nao-Team_Naova.yaml
